Problem:    Caso1_O1_MinMax
Rows:       2141
Columns:    1945 (1872 integer, 0 binary)
Non-zeros:  10441
Status:     INTEGER NON-OPTIMAL
Objective:  Z = 4 (MINimum)

   No.   Row name        Activity     Lower bound   Upper bound
------ ------------    ------------- ------------- -------------
     1 Z                           4                             
   384 res3[5,5,7]                 0                          -0 
   385 res3[5,5,8]                 0                          -0 
   386 res3[5,5,9]                 0                          -0 
   387 res3[5,6,1]                 0                          -0 
   388 res3[5,6,2]                 0                          -0 
   389 res3[5,6,3]                 0                       10000 
   390 res3[5,6,4]                 0                          -0 
   391 res3[5,6,5]                 0                          -0 
   392 res3[5,6,6]                 0                          -0 
   393 res3[5,6,7]                 0                          -0 
   394 res3[5,6,8]                 0                          -0 
   395 res3[5,6,9]                 0                          -0 
   396 res3[5,7,1]                 0                          -0 
   397 res3[5,7,2]                 0                          -0 
   398 res3[5,7,3]                 0                       10000 
   399 res3[5,7,4]                 0                          -0 
   400 res3[5,7,5]                 0                          -0 
   401 res3[5,7,6]                 0                          -0 
   402 res3[5,7,7]                 0                          -0 
   403 res3[5,7,8]                 0                          -0 
   404 res3[5,7,9]                 0                          -0 
   405 res3[5,8,1]                 0                          -0 
   406 res3[5,8,2]                 0                          -0 
   407 res3[5,8,3]                 0                       10000 
   408 res3[5,8,4]                 0                          -0 
   409 res3[5,8,5]                 0                          -0 
   410 res3[5,8,6]                 0                          -0 
   411 res3[5,8,7]                 0                          -0 
   412 res3[5,8,8]                 0                          -0 
   413 res3[5,8,9]                 0                          -0 
   414 res3[6,1,1]                 0                          -0 
   415 res3[6,1,2]                 0                          -0 
   416 res3[6,1,3]                 0                       10000 
   417 res3[6,1,4]                 0                          -0 
   418 res3[6,1,5]                 0                          -0 
   419 res3[6,1,6]                 0                          -0 
   420 res3[6,1,7]                 0                          -0 
   421 res3[6,1,8]                 0                          -0 
   422 res3[6,1,9]                 0                          -0 
   423 res3[6,2,1]                 0                          -0 
   424 res3[6,2,2]                 0                          -0 
   425 res3[6,2,3]                 0                       10000 
   426 res3[6,2,4]                 0                          -0 
   427 res3[6,2,5]                 0                          -0 
   428 res3[6,2,6]                 0                          -0 
   429 res3[6,2,7]                 0                          -0 
   430 res3[6,2,8]                 0                          -0 
   431 res3[6,2,9]                 0                          -0 
   432 res3[6,3,1]                 0                          -0 
   433 res3[6,3,2]                 0                          -0 
   434 res3[6,3,3]                 0                       10000 
   435 res3[6,3,4]                 0                          -0 
   436 res3[6,3,5]                 0                          -0 
   437 res3[6,3,6]                 0                          -0 
   438 res3[6,3,7]                 0                          -0 
   439 res3[6,3,8]                 0                          -0 
   440 res3[6,3,9]                 0                          -0 
   441 res3[6,4,1]                 0                          -0 
   442 res3[6,4,2]                 0                          -0 
   443 res3[6,4,3]                 0                       10000 
   444 res3[6,4,4]                 0                          -0 
   445 res3[6,4,5]                 0                          -0 
   446 res3[6,4,6]                 0                          -0 
   447 res3[6,4,7]                 0                          -0 
   448 res3[6,4,8]                 0                          -0 
   449 res3[6,4,9]                 0                          -0 
   450 res3[6,5,1]                 0                          -0 
   451 res3[6,5,2]                 0                          -0 
   452 res3[6,5,3]                 0                       10000 
   453 res3[6,5,4]                 0                          -0 
   454 res3[6,5,5]                 0                          -0 
   455 res3[6,5,6]                 0                          -0 
   456 res3[6,5,7]                 0                          -0 
   457 res3[6,5,8]                 0                          -0 
   458 res3[6,5,9]                 0                          -0 
   459 res3[6,6,1]                 0                          -0 
